shinchou,taiju,father,mother,tsugaku,arbeit,tv,jugyou,ketsueki,yakyu,shimai,tabako,jitaku,menkyo,car,koibito,seibetsu
173,73,168,160,35,0,120,4,o,8,0,0,1,0,1,0,1
162,58,165,150,50,0,90,5,a,6,0,1,1,1,1,0,1
170,68,172,155,35,15,60,3,o,1,0,0,1,0,0,1,1
178,61,170,155,110,8,60,3,a,2,1,0,1,0,0,1,1
178,72,171,158,50,0,2,4,a,4,0,0,0,0,0,0,1
173,67,170,161,15,0,5,2,ab,4,1,0,0,1,0,1,1
177,69,175,155,75,4,60,5,o,1,0,0,1,1,1,1,1
182,65,180,155,45,10,30,3,a,4,1,0,0,0,0,1,1
180,72,170,160,50,12,180,5,o,13,1,0,0,1,0,1,1
166,57,160,155,5,7,60,4,b,1,1,1,1,0,0,0,1
177,60,163,160,40,5,300,5,a,4,1,0,0,1,0,0,1
177,58,167,162,60,0,15,4,o,3,1,0,1,1,0,0,1
169,68,170,155,50,0,120,2,b,1,0,0,0,1,0,1,1
171,58,165,158,45,20,60,3,b,1,0,0,0,1,0,0,1
179,63,160,155,40,0,120,5,o,4,1,1,1,1,1,1,1
178,68,168,150,30,15,30,4,o,4,1,1,0,0,0,1,1
186,63,173,150,40,4,60,3,o,1,1,0,0,0,0,1,1
169,63,170,155,110,4,120,2,b,4,1,0,1,1,1,0,1
170,56,167,160,90,15,30,5,a,2,1,0,1,1,1,0,1
186,69,168,160,40,10,30,5,o,1,1,1,0,0,0,1,1
174,61,168,152,70,12,60,4,b,4,0,0,1,0,0,0,1
164,57,162,157,50,0,10,3,o,13,1,0,0,1,0,0,1
175,52,163,160,30,0,120,3,b,1,1,0,0,1,0,0,1
167,64,167,161,50,0,0,5,b,13,1,0,1,1,1,1,1
173,62,168,152,50,5,60,4,a,1,0,1,0,1,0,0,1
168,51,164,156,90,4,90,4,a,13,1,0,1,0,0,0,1
174,58,163,160,35,8,90,4,a,1,0,1,1,1,0,0,1
175,65,167,149,110,5,20,4,b,4,0,0,1,1,0,0,1
175,61,160,150,150,11,30,3,o,6,1,1,1,1,1,0,1
170,55,160,155,70,3,30,3,a,12,1,0,1,1,1,0,1
168,60,162,153,40,3,120,3,a,9,1,0,0,1,0,0,1
170,61,158,163,7,20,0,5,o,7,0,0,0,1,0,1,1
170,60,160,160,60,35,60,5,b,10,0,0,1,1,0,0,1
179,62,180,165,0,1,1,4,o,1,0,0,1,1,1,0,1
